Version;Type;Gateway;Game date;Map;Race match-up;APMs;Length;Players;Format;Winners;EAPMs;File;Comment;
module.repSearch.tab.results.header.version;module.repSearch.tab.results.header.type;module.repSearch.tab.results.header.gateway;module.repSearch.tab.results.header.fileDate;module.repSearch.tab.results.header.map;module.repSearch.tab.results.header.raceMatchup;module.repSearch.tab.results.header.apms;module.repSearch.tab.results.header.length;module.repSearch.tab.results.header.players;module.repSearch.tab.results.header.format;module.repSearch.tab.results.header.winners;module.repSearch.tab.results.header.eapms;module.repSearch.tab.results.header.file;module.repSearch.tab.results.header.comment;
1.0.0.16117;Private;Europe;2010-07-27 18:26:07;Lost Temple;PvT;173, 144;00:04:33;mTwiNfeRnaL vs Andead;1v1;Andead;75, 99;W:\sc2\EPSQUALIFIER\SC2S_541_[EPS][Qualifier][G1]_mTwiNfeRnaL_vs_Andead_Lost_Temple  MD5_7Xc32o9O$emFwF#fkMdwN0.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 19:25:09;Lost Temple;ZvP;129, 160;00:12:23;Hilde vs aTnSocke;1v1;aTnSocke;108, 122;W:\sc2\EPSQUALIFIER\SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:43:15;Metalopolis;ZvP;132, 162;00:12:04;Hilde vs aTnSocke;1v1;aTnSocke;111, 125;W:\sc2\EPSQUALIFIER\SC2S_544_[EPS][Qualifier][G2]_Hilde_vs_aTnSocke_Metalopolis  MD5_dDZYVaYpy1qAkmvx4REHlX.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:22:34;Metalopolis;TvT;126, 122;00:09:44;miou vs GoOdy;1v1;GoOdy;94, 95;W:\sc2\EPSQUALIFIER\SC2S_545_[EPS][Qualifier][G1]_miou_vs_GoOdy_Metalopolis  MD5_MpTX3vt1XHWldc4FJSlGLW.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:49:09;Verschollener Tempel;TvT;118, 124;00:19:44;GoOdy vs miou;1v1;GoOdy;92, 97;W:\sc2\EPSQUALIFIER\SC2S_546_[EPS][Qualifier][G2]_GoOdy_vs_miou_Lost_Temple  MD5_yKEe2A0RC5ri3WVXEEYCom.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 21:42:34;Kulas Ravine;PvT;170, 119;00:13:41;aTnSocke vs GoOdy;1v1;aTnSocke;117, 94;W:\sc2\EPSQUALIFIER\SC2S_547_[EPS][Qualifier][G1]_aTnSocke_vs_GoOdy_Kulas_Ravine  MD5_RwqF70s#g8lrFj3FRySOMy.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 21:11:43;Lost Temple;PvT;177, 119;00:26:02;aTnSocke vs GoOdy;1v1;GoOdy;125, 91;W:\sc2\EPSQUALIFIER\SC2S_548_[EPS][Qualifier][G2]_aTnSocke_vs_GoOdy_Lost_Temple  MD5_IPgoe0Rnk4M0wp6XzY8UDU.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 21:21:44;Metalopolis;PvT;168, 145;00:04:39;aTnSocke vs GoOdy;1v1;aTnSocke;101, 97;W:\sc2\EPSQUALIFIER\SC2S_549_[EPS][Qualifier][G3]_aTnSocke_vs_GoOdy_Metalopolis  MD5_rsGkWIwAtAPdPhtRVw83Ez.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 23:05:04;Verschollener Tempel;TvT;141, 173;00:04:25;GoOdy vs LiquidTLO;1v1;LiquidTLO;93, 94;W:\sc2\EPSQUALIFIER\SC2S_550_[EPS][Qualifier][G1]_LiquidTLO_vs_GoOdy_Lost_Temple  MD5_XD3hLkUfNh4O$P3RPZfFBp.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 23:21:36;Metalopolis;TvT;122, 175;00:13:45;GoOdy vs LiquidTLO;1v1;LiquidTLO;95, 104;W:\sc2\EPSQUALIFIER\SC2S_551_[EPS][Qualifier][G2]_LiquidTLO_vs_GoOdy_Metalopolis  MD5_U$tLTgKPEiccr1CL0WRYSY.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 22:04:02;Verschollener Tempel;PvT;262, 195;00:10:57;mouzHasu vs LiquidTLO;1v1;LiquidTLO;118, 118;W:\sc2\EPSQUALIFIER\SC2S_552_[EPS][Qualifier][G1]_LiquidTLO_vs_mouzHasu_Lost_Temple  MD5_miEMESz2c2sCmv1LWbZTUD.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 22:51:41;Metalopolis;PvT;269, 182;00:32:18;mouzHasu vs LiquidTLO;1v1;mouzHasu;155, 115;W:\sc2\EPSQUALIFIER\SC2S_553_[EPS][Qualifier][G2]_LiquidTLO_vs_mouzHasu_Metalopolis  MD5_5uS3L$nv4LNrUq#w2xhrqH.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 22:17:06;Wüstenoase;PvZ;238, 210;00:09:56;mouzHasu vs LiquidTLO;1v1;mouzHasu;107, 120;W:\sc2\EPSQUALIFIER\SC2S_554_[EPS][Qualifier][G3]_LiquidTLO_vs_mouzHasu_Desert_Oasis  MD5_uE4HCOI$8AQXMXi6E3Lxl1.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:32:46;Metalopolis;ZvP;194, 122;00:07:09;aTnMardow vs iNSoLeNCE;1v1;iNSoLeNCE;134, 79;W:\sc2\EPSQUALIFIER\SC2S_555_[EPS][Qualifier][G1]_aTnMardow_vs_iNSoLeNCE_Metalopolis  MD5_u0tiWiIXWiSWOQdZHOM6p6.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:24:37;Verschollener Tempel;ZvP;206, 152;00:13:51;aTnMardow vs iNSoLeNCE;1v1;iNSoLeNCE;152, 102;W:\sc2\EPSQUALIFIER\SC2S_556_[EPS][Qualifier][G2]_aTnMardow_vs_iNSoLeNCE_Lost_Temple  MD5_RaE1cGwaYzche4TDM2psmY.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-28 19:50:57;Verschollener Tempel;TvP;186, 163;00:14:19;LiquidTLO vs iNSoLeNCE;1v1;LiquidTLO;114, 101;W:\sc2\EPSQUALIFIER\SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-28 19:27:02;Metalopolis;PvT;120, 181;00:12:27;iNSoLeNCE vs LiquidTLO;1v1;LiquidTLO;72, 102;W:\sc2\EPSQUALIFIER\SC2S_558_[EPS][Qualifier][G2]_iNSoLeNCE_vs_LiquidTLO_Metalopolis  MD5_hnN4cQKJ9j66suJ9y28jCP.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:28:57;Lost Temple;ZvT;173, 286;00:12:17;Mondragon vs mTwNarutO;1v1;mTwNarutO;126, 107;W:\sc2\EPSQUALIFIER\SC2S_559_[EPS][Qualifier][G1]_Mondragon_vs_mTwNarutO_Lost_Temple  MD5_HgZe0PziJEhe3xHr4WdYvs.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:51:53;Metalopolis;ZvT;198, 257;00:18:47;Mondragon vs mTwNarutO;1v1;mTwNarutO;153, 123;W:\sc2\EPSQUALIFIER\SC2S_560_[EPS][Qualifier][G2]_Mondragon_vs_mTwNarutO_Metalopolis  MD5_M2zsBGLIlzKfwlYqL9ln77.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 20:20:20;Lost Temple;TvP;244, 236;00:06:28;mTwNarutO vs mouzHasu;1v1;mouzHasu;102, 113;W:\sc2\EPSQUALIFIER\SC2S_561_[EPS][Qualifier][G1]_mouzHasu_vs_mTwNarutO_Lost_Temple  MD5_VbqbKiUCGLu3x6J2zCPbvb.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 20:37:54;Metalopolis;PvT;245, 243;00:13:35;mouzHasu vs mTwNarutO;1v1;mouzHasu;114, 110;W:\sc2\EPSQUALIFIER\SC2S_562_[EPS][Qualifier][G2]_mTwNarutO_vs_mouzHasu_Metalopolis  MD5_Z6f0JO60LBdZdjCuPCOLCf.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 19:44:55;Kulas Ravine;PvT;159, 147;00:07:22;aTnSocke vs Andead;1v1;aTnSocke;110, 96;W:\sc2\EPSQUALIFIER\SC2S_563_[EPS][Qualifier][G1]_aTnSocke_vs_Andead_Kulas_Ravine  MD5_rTtaeGu5a$CtUXkdyqSd8d.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:55:20;Wüstenoase;ZvT;177, 134;00:12:39;LiquidTLO vs SoKoL;1v1;LiquidTLO;126, 76;W:\sc2\EPSQUALIFIER\SC2S_564_[EPS][Qualifier][G1]_LiquidTLO_vs_SoKoL_Desert_Oasis  MD5_fR2RIy8oKVZcglkUlEq2Gy.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-28 18:46:35;Metalopolis;ZvT;204, 154;00:09:24;LiquidTLO vs SoKoL;1v1;LiquidTLO;129, 87;W:\sc2\EPSQUALIFIER\SC2S_565_[EPS][Qualifier][G2]_LiquidTLO_vs_SoKoL_Metalopolis  MD5_22l0wp49ATFix6Rndz1$5$.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:29:09;Lost Temple;ZvP;195, 133;00:17:38;aTnDarKFoRcE vs XlorD;1v1;XlorD;144, 107;W:\sc2\EPSQUALIFIER\SC2S_566_[EPS][Qualifier][G1]_aTnDarKFoRcE_vs_XlorD_Lost_Temple  MD5_9JpwMuHe620MNlz4hhcQ5Q.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:43:32;Metalopolis;PvZ;133, 175;00:06:06;XlorD vs aTnDarKFoRcE;1v1;;94, 113;W:\sc2\EPSQUALIFIER\SC2S_567_[EPS][Qualifier][G2]_XlorD_vs_aTnDarKFoRcE_Metalopolis  MD5_KptpF4pLx2fBGOi4EgU#Uv.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 19:38:46;Verschollener Tempel;TvP;116, 143;00:15:37;GoOdy vs XlorD;1v1;GoOdy;94, 111;W:\sc2\EPSQUALIFIER\SC2S_568_[EPS][Qualifier][G1]_GoOdy_vs_XlorD_Lost_Temple  MD5_eh68jfC0NHcaniNGuBq$W$.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 19:52:41;Felder des Krieges;TvP;119, 123;00:11:43;GoOdy vs XlorD;1v1;GoOdy;94, 95;W:\sc2\EPSQUALIFIER\SC2S_569_[EPS][Qualifier][G2]_GoOdy_vs_XlorD_Steppes_of_War  MD5_sdD3fCAvOsuCE9REmM7dpJ.SC2Replay;;
