Version;Type;Gateway;Game date;Map;Race match-up;APMs;Length;Players;File;Comment;
module.repSearch.tab.results.header.version;module.repSearch.tab.results.header.type;module.repSearch.tab.results.header.gateway;module.repSearch.tab.results.header.fileDate;module.repSearch.tab.results.header.map;module.repSearch.tab.results.header.raceMatchup;module.repSearch.tab.results.header.apms;module.repSearch.tab.results.header.length;module.repSearch.tab.results.header.players;module.repSearch.tab.results.header.file;module.repSearch.tab.results.header.comment;
1.0.0.16117;AutoMM;Europe;2010-07-27 11:20:15;Lost Temple;TvT;218, 160;00:17:10;PredY vs Satiini;W:\sc2\(T)Satiini_vs_(T)PredY_LT_2010-07-27_1120.sc2replay;;
1.0.3.16291;AutoMM;Europe;2010-09-05 13:53:08;Steppes of War;TvZ;75, 106;00:17:50;anihilato vs skatman;W:\sc2\1v1-0323-Steppes of-ZvT-skatman, anihilato.SC2Replay;;
1.0.1.16195;AutoMM;Asia;2010-07-31 07:10:39;전쟁 초원;TvP;122, 97;00:12:24;띵하여 vs Dark;W:\sc2\1v1-dark.sc2replay;;
1.0.1.16195;AutoMM;Southeast Asia;2010-08-05 12:27:55;Kulas Ravine;PvT;87, 101;00:18:28;PYRO vs Stripes;W:\sc2\1v1-pyro-stripes.sc2replay;;
1.0.0.16117;AutoMM;Asia;2010-07-30 05:55:11;고철 처리장;PvZ;143, 260;00:15:16;ChiTaPrime vs GundamWeRRa;W:\sc2\20100802_Mystic(zerg)_vs_InCa(protoss)_steppes_of_war_sc2rep_com.sc2replay;;
1.0.2.16223;AutoMM;America;2010-08-09 02:34:19;Frontier;PTPvZPZ;67, 79, 38, 43, 90, 82;00:25:13;CorruptFurby, ALUCARD, Elvy vs Slushe, Burn, Ironsites;W:\sc2\3v3-alucard-burn-corruptfurby-elvy-ironsites.sc2replay;;
1.0.2.16223;Public;America;2010-08-13 01:25:22;Megaton;ZTPvTPP;115, 21, 49, 30, 22, 58;00:17:51;XelNagaMastr, Phaint, Jinwoo vs Racend, Sean, Mike;W:\sc2\4v4-jinwoo-mike-phaint-racend-sean-xelnagamastr.sc2replay;;
1.0.2.16223;Private;Europe;2010-08-17 01:26:51;Lost Temple;TvZ;87, 68;00:10:35;JonnyREcco vs TibblesEvilC;W:\sc2\asdfadsfa.sc2replay;;
1.0.0.16117;Single player;Unknown;2010-07-29 07:49:31;Covert Ops;;;00:04:13;;W:\sc2\challange\Covert Ops (4).SC2Replay;;
1.0.0.16117;Single player;Unknown;2010-07-28 07:43:29;Psionic Assault;;;00:12:19;;W:\sc2\challange\Psionic Assault (3).SC2Replay;;
1.0.1.16195;Single player;Unknown;2010-08-04 22:06:39;Psionic Assault;;;00:17:16;;W:\sc2\challange\Psionic Assault CLEAR.SC2Replay;;
1.0.0.16117;AutoMM;Asia;2010-07-28 18:56:23;금속도시;TvZ;169, 174;00:17:04;justfake vs CheckPrime;W:\sc2\CheckPrimeVSJustFake_ZvT_RRU - EP2.sc2replay;;
1.0.0.16117;Private;Europe;2010-07-29 12:05:40;Lava Flow;TvTvZvPvZvPvZvZ;92, 0, 0, 0, 0, 0, 0, 0;00:27:13;njAl vs Player 2 vs Player 3 vs Player 4 vs Player 5 vs Player 6 vs Player 7 vs Player 8;W:\sc2\comp\1v7 insane ffa achi.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-29 16:36:49;High Ground;PvPvPvPvPvPvPvP;124, 0, 0, 0, 0, 0, 0, 0;00:15:00;Fortune vs Player 2 vs Player 3 vs Player 4 vs Player 5 vs Player 6 vs Player 7 vs Player 8;W:\sc2\comp\High Ground.SC2Replay;;
1.0.3.16291;Private;America;2010-08-17 19:53:50;Desert Oasis;T;99;00:05:15;CanadianBakn;W:\sc2\Desert Oasis.SC2Replay;;
1.0.0.16117;AutoMM;America;2010-07-30 05:23:17;Dunas escaldantes Novato;TvT;15, 32;00:12:20;Khlauss vs roddds;W:\sc2\Dunas escaldantes Novato.SC2Replay;;
1.0.3.16291;AutoMM;Southeast Asia;2010-09-08 02:37:03;Lost Temple;TvP;0, 0;00:09:49;Optical vs yuGusoG;W:\sc2\Immortal_Hack.SC2Replay;;
1.0.0.16117;AutoMM;America;2010-07-30 05:23:17;Dunas escaldantes Novato;TvT;15, 32;00:12:20;Khlauss vs roddds;W:\sc2\localized\Dunas escaldantes Novato.SC2Replay;;
1.0.3.16291;AutoMM;Europe;2010-08-31 20:30:32;Бурлящие пески;ZvT;89, 75;00:16:42;NSP vs Ataman;W:\sc2\localized\russian.SC2Replay;;
1.0.3.16291;AutoMM;Europe;2010-08-29 01:14:03;Пещеры зел-нага;TvZ;48, 76;00:06:15;DisDooM vs NSP;W:\sc2\localized\russian2.SC2Replay;;
1.0.2.16223;AutoMM;Europe;2010-08-07 23:20:01;Квадрант «Дельта»;TvP;57, 30;00:09:17;Blaz vs Червякджим;W:\sc2\localized\russian3.SC2Replay;;
1.0.0.16117;Private;Europe;2010-07-27 18:22:34;Metalopolis;TvT;126, 122;00:09:44;miou vs GoOdy;W:\sc2\localized\SC2S_545_[EPS][Qualifier][G1]_miou_vs_GoOdy_Metalopolis.sc2replay;;
1.0.2.16223;AutoMM;Southeast Asia;2010-08-14 12:49:50;High Orbit;PPvTP;85, 48, 63, 74;00:09:55;Fenixius, WildTiger vs Eyescream, Saber;W:\sc2\LOL WUT.SC2Replay;;
1.0.1.16195;AutoMM;America;2010-08-04 13:48:38;Tarsonis Assault;TZvZP;110, 18, 54, 138;00:20:53;Lyra, Foxister vs Digileo, PoDk;W:\sc2\Lyra 1v1\1v2 win lol.SC2Replay;;
1.0.1.16195;AutoMM;America;2010-08-04 07:53:19;Lost Temple;ZvTvTvT;49, 31, 110, 58;00:14:28;Open vs Enerax vs Lyra vs Plato;W:\sc2\Lyra 1v1\ffa win.SC2Replay;;
